kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,rmse_r,corr_px,distance_px,rmse_px
012450 KS,NVT UN,1329,1329,0.117644058,0.026157963,0.852337988,22.10110907,0.758102871
012450 KS,BLDR UN,1324,1324,0.101101032,0.031005058,0.851943875,12.05816815,0.969764041
028050 KS,ATKR UN,1810,1810,0.169564683,0.027034964,0.851580446,81.22774924,2.331958714
298020 KS,ITT UN,1268,1268,0.136718593,0.02615419,0.851400288,18.99401649,0.698150898
298050 KS,AYI UN,1268,1268,0.122146645,0.028694757,0.850889166,31.39487939,1.022598738
112610 KS,EFX UN,2183,2183,0.101895859,0.027151441,0.850698974,56.80467287,1.58593568
010620 KS,BXC UN,2183,2183,0.042709241,0.038719266,0.850661289,81.20234898,2.113452577
298020 KS,OSK UN,1268,1268,0.111067027,0.027145378,0.850475654,21.50211128,0.769129621
010620 KS,GTLS UN,1324,1324,0.144348413,0.03205354,0.849832389,11.70835216,0.750798686
112610 KS,KFRC UW,2183,2183,0.084519406,0.02899904,0.84975141,60.27845675,1.65016425
298020 KS,HLIO UN,1268,1268,0.112952655,0.028618184,0.849595427,15.91689634,0.727017533
010620 KS,RUSHB UW,2183,2183,0.139309758,0.027421748,0.849365344,10.13264013,0.400596687
052690 KS,PTSI UQ,2183,2183,0.071695835,0.034208733,0.849019233,8.717015258,0.523955505
051600 KS,BW UN,2066,2066,0.046458804,0.037760018,0.848742168,7.582148126,0.239380961
298050 KS,LSTR UW,1268,1268,0.103486812,0.026689015,0.848368521,29.37275502,0.959946397
001120 KS,GTLS UN,1324,1324,0.163568358,0.030463163,0.848283289,25.0549358,1.109039
298050 KS,IR UN,1268,1268,0.142391024,0.027829757,0.84747849,20.14596499,0.785578879
112610 KS,CSGP UW,2183,2183,0.103719609,0.027580091,0.847389618,18.45863361,1.136110859
112610 KS,VMI UN,2183,2183,0.096577304,0.027418198,0.847181021,69.06434514,1.902121154
298050 KS,WSO UN,1268,1268,0.110836475,0.026453486,0.847111713,25.01292212,0.915696053
298050 KS,ROK UN,1268,1268,0.151378176,0.026558918,0.846753872,23.88423305,0.879648161
112610 KS,NSC UN,2183,2183,0.071016332,0.027603917,0.846464954,74.13709843,1.712881307
298050 KS,AOS UN,1268,1268,0.101578215,0.027302148,0.84635041,37.43901934,1.155005885
112610 KS,TDG UN,2183,2183,0.090209271,0.027760533,0.846122615,34.54379242,1.350821346
112610 KS,JCI UN,2183,2183,0.106095459,0.027040944,0.845640805,92.8869666,2.146013341
298050 KS,TNET UN,1268,1268,0.140637579,0.027421899,0.845486428,25.48135324,0.923474588
052690 KS,ARCB UW,2183,2183,0.078599456,0.031526997,0.845070859,6.45642048,0.381513323
