ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
1887,Industrials,375500_KS,BBSI_UW,-0.658062227,0.414809909,0.433045895,0.172067261,0.605113156,Dl E&C Ltd,Barrett Business Services Inc,0.224262988
1888,Financials,DFS_UN,316140_KS,0.488798998,0.469676634,0.238924461,0.22059614,0.459520601,Discover Financial Services,Woori Financial Group Inc,0.224261804
1889,Consumer Discretionary,031430_KS,HRB_UN,0.875326731,0.297873075,0.766196885,0.088728369,0.854925254,"Shinsegae International Co., Ltd",H&R Block Inc,0.224222072
1890,Financials,016360_KS,UCBI_UW,-0.766980573,0.364977084,0.5882592,0.133208272,0.721467472,"Samsung Securities Co.,Ltd",United Community Banks Inc,0.224218458
1891,Industrials,SPXC_UN,375500_KS,0.56253617,0.44842437,0.316446942,0.201084416,0.517531358,SPX Corp,Dl E&C Ltd,0.224156921
1892,Industrials,EXPO_UW,294870_KS,-0.677811886,0.406566491,0.459428953,0.165296312,0.624725265,Exponent Inc,Hyundai Development Company,0.22412284
1893,Industrials,RBA_UN,078930_KS,0.675959543,0.407282912,0.456921304,0.16587937,0.622800675,Ritchie Bros Auctioneers Inc,GS Holdings Corp,0.224087757
1894,Financials,088350_KS,C_UN,0.0,0.529235054,0.0,0.280089742,0.280089742,"Hanwha Life Insurance Co., Ltd",Citigroup Inc,0.224071794
1895,Communication Services,BATRK_UW,259960_KS,0.874255943,0.298339256,0.764323453,0.089006311,0.853329765,Liberty Media Liberty Braves Corp Series C,KRAFTON INC,0.224069739
1896,Financials,006800_KS,WT_UN,0.873828921,0.298632579,0.763576984,0.089181417,0.852758401,"Mirae Asset Daewoo Co., Ltd","WisdomTree, Inc.",0.22406053
1897,Materials,FMC_UN,010130_KS,0.901459702,0.277280559,0.812629595,0.076884508,0.889514103,FMC Corp,"Korea Zinc Co., Ltd",0.224033525
1898,Consumer Discretionary,039130_KS,GRMN_UN,-0.558654351,0.449449746,0.312094684,0.202005074,0.514099759,Hanatour Service Inc,Garmin Ltd,0.224022996
1899,Financials,024110_KS,PKBK_UR,-0.678760778,0.406016231,0.460716193,0.16484918,0.625565373,Industrial Bank of Korea,Parke Bancorp Inc,0.224022583
1900,Industrials,XMTR_UW,028670_KS,-0.29316514,0.508426554,0.085945799,0.258497561,0.34444336,"Xometry, Inc.","Pan Ocean Co., Ltd",0.223987209
1901,Financials,NWLI_UW,316140_KS,0.696292919,0.398445089,0.484823829,0.158758489,0.643582318,National Western Life Group Inc Class A,Woori Financial Group Inc,0.223971557
1902,Consumer Discretionary,HOG_UN,005380_KS,-0.694679229,0.399102365,0.482579231,0.159282698,0.641861929,Harley Davidson Inc,Hyundai Motor Company,0.223942005
1903,Financials,CADE_UN,175330_KS,0.836714288,0.323752038,0.7000908,0.104815382,0.804906182,Cadence Bancorporation,"JB Financial Group Co., Ltd",0.223870466
1904,Industrials,DCO_UN,009540_KS,-0.833341927,0.325899754,0.694458768,0.10621065,0.800669418,Ducommun Inc,HD Korea Shipbuilding & Offshore Engineering Co Lt,0.223860274
1905,Industrials,MSA_UN,294870_KS,0.700641332,0.396310069,0.490898276,0.15706167,0.647959946,MSA Safety Inc,Hyundai Development Company,0.223828991
1906,Consumer Discretionary,023530_KS,UA_UN,0.276869798,0.510473076,0.076656885,0.260582761,0.337239647,"Lotte Shopping Co., Ltd",Under Armour Inc Class C,0.223797586
1907,Industrials,ROAD_UW,294870_KS,0.612403943,0.431250719,0.375038589,0.185977183,0.561015772,"Construction Partners, Inc.",Hyundai Development Company,0.223789464
1908,Industrials,TTEC_UW,375500_KS,-0.765332147,0.36508072,0.585733296,0.133283932,0.719017228,Teletech Holdings Inc,Dl E&C Ltd,0.223773805
1909,Financials,039490_KS,ORC_UN,0.837622322,0.322941579,0.701611154,0.104291263,0.805902417,"Kiwoom Securities Co., Ltd",Orchid Island Capital Inc,0.223755241
1910,Consumer Staples,006040_KS,CALM_UW,0.850830144,0.314085175,0.723911935,0.098649497,0.822561432,"Dongwon Industries Co., Ltd",Cal Maine Foods Inc,0.223701985
1911,Consumer Discretionary,284740_KS,LZB_UN,0.742052439,0.37672086,0.550641822,0.141918607,0.692560429,Cuckoo Homesys Ltd,La-Z-Boy Inc,0.22366325
1912,Financials,316140_KS,TREE_UW,-0.770356354,0.362216062,0.593448911,0.131200476,0.724649387,Woori Financial Group Inc,Lendingtree Inc,0.223650163
1913,Financials,006800_KS,RGA_UN,0.798437477,0.346578978,0.637502405,0.120116988,0.757619393,"Mirae Asset Daewoo Co., Ltd",Reinsurance Group Of America Inc,0.223594071
1914,Industrials,XYL_UN,000720_KS,0.758126227,0.368497103,0.574755377,0.135790115,0.710545492,Xylem Inc,"Hyundai Engineering & Construction Co., Ltd",0.223583167
1915,Energy,267250_KS,MTDR_UN,0.373456926,0.494567395,0.139470075,0.244596908,0.384066983,"Hyundai Heavy Industries Holdings Co., Ltd",Matador Resources,0.223571541
1916,Industrials,CWST_UW,294870_KS,0.921963689,0.258728932,0.850017043,0.06694066,0.916957704,Casella Waste Systems Inc Class A,Hyundai Development Company,0.223555937
1917,Industrials,028670_KS,GGG_UN,-0.732650757,0.381084022,0.536777132,0.145225032,0.682002164,"Pan Ocean Co., Ltd",Graco Inc,0.223535452
1918,Consumer Discretionary,BOOT_UN,005850_KS,-0.669147612,0.409216993,0.447758527,0.167458547,0.615217074,Boot Barn Holdings Inc,SL Corporation,0.223518543
1919,Industrials,034020_KS,CAT_UN,0.657033035,0.414051947,0.431692409,0.171439015,0.603131424,"Doosan Heavy Industries & Construction Co., Ltd",Caterpillar Inc,0.223489694
1920,Financials,WTM_UN,032830_KS,0.358452205,0.4972309,0.128487984,0.247238568,0.375726552,White Mountains Insurance Group Ltd,"Samsung Life Insurance Co., Ltd",0.223488451
1921,Financials,SEIC_UW,086790_KS,0.559591253,0.448399136,0.31314237,0.201061785,0.514204155,SEI Investments,Hana Financial Group Inc,0.223477902
1922,Financials,ATLC_UW,316140_KS,0.80129246,0.344717158,0.642069606,0.118829919,0.760899525,Atlanticus Holdings Corp,Woori Financial Group Inc,0.223477856
1923,Financials,BFST_UW,138930_KS,-0.686973012,0.401659284,0.471931919,0.161330181,0.6332621,Business First Bancshares Inc.,BNK Financial Group Inc,0.223450529
1924,Industrials,051600_KS,AZZ_UN,0.696705343,0.397427016,0.485398335,0.157948233,0.643346568,"KEPCO Plant Service & Engineering Co.,Ltd",Azz Inc,0.223438253
1925,Industrials,HCCI_UW,028670_KS,0.688069786,0.401108787,0.473440031,0.160888259,0.63432829,Heritage Crystal Inc,"Pan Ocean Co., Ltd",0.223398613
1926,Financials,175330_KS,NTB_UN,0.803267929,0.343371321,0.645239367,0.117903864,0.763143231,"JB Financial Group Co., Ltd",Bank Of Nt Butterfield & Son Ltd,0.223370965
1927,Consumer Discretionary,CNTY_UR,241590_KS,0.687213234,0.401418371,0.472262029,0.161136709,0.633398738,Century Casinos Inc,"Hwaseung Enterprise Co., Ltd",0.223361773
1928,Materials,CTVA_UN,001230_KS,0.801830719,0.344176636,0.642932503,0.118457557,0.76139006,"Corteva, Inc.",Dongkuk Steel Mill Company Limited,0.223352546
1929,Consumer Discretionary,STKS_UR,021240_KS,0.747706211,0.373388677,0.559064579,0.139419104,0.698483682,One Group Hospitality Inc,"Coway Co., Ltd",0.223348199
1930,Industrials,BCC_UN,336260_KS,-0.658594929,0.413186314,0.433747281,0.17072293,0.604470211,Boise Cascade,Doosan Fuel Cell Ltd,0.2233278
1931,Financials,EQH_UN,105560_KS,0.370362651,0.494840495,0.137168493,0.244867116,0.382035609,AXA Equitable Holdings Inc,KB Financial Group Inc,0.223327391
1932,Financials,CATY_UW,105560_KS,0.0,0.528322238,0.0,0.279124387,0.279124387,Cathay General Bancorp,KB Financial Group Inc,0.22329951
1933,Industrials,294870_KS,MAS_UN,0.607769588,0.432127493,0.369383872,0.18673417,0.556118042,Hyundai Development Company,Masco Corp,0.22326411
1934,Industrials,GNK_UN,336260_KS,0.786553384,0.352719729,0.618666226,0.124411207,0.743077433,Genco Shipping And Trading Ltd,Doosan Fuel Cell Ltd,0.223262211
1935,Financials,039490_KS,CSTR_UW,0.637573706,0.421232902,0.406500231,0.177437157,0.583937388,"Kiwoom Securities Co., Ltd",Capstar Financial Holdings Inc,0.223249772
1936,Financials,SBCF_UW,316140_KS,-0.70214383,0.394721954,0.493005958,0.155805421,0.648811379,Seacoast Banking Of Florida,Woori Financial Group Inc,0.223245528
1937,Energy,WTI_UN,267250_KS,0.0,0.528154985,0.0,0.278947688,0.278947688,W And T Offshore Inc,"Hyundai Heavy Industries Holdings Co., Ltd",0.22315815
