Ticker,Bloomberg,MySQL,Name_kor,Name,Sector_kor,Sector,Industry_Group,Industry,Sub_Industry,Description
005850,005850 KS,005850_KS,에스엘,SL Corporation,임의소비재,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"SL Corp. designs and manufactures head lamps, chassis, and power trains for autos and motorcycles.  The Company exports its products to overseas market such as North America and Australia."
005930,005930 KS,005930_KS,삼성전자,"Samsung Electronics Co., Ltd",테크놀로지,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &","Samsung Electronics Co., Ltd. manufactures a wide range of consumer and industrial electronic equipment and products such as semiconductors, personal computers, peripherals, monitors, televisions, and home appliances including air conditioners and microwave ovens. The Company also produces Internet access network systems and telecommunications equipment including mobile phones."
005940,005940 KS,005940_KS,NH투자증권,"NH Investment & Securities Co., Ltd",금융,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,"NH Investment & Securities Co., Ltd. provides brokerage, underwriting, and securities dealing services.  The Company's offerings include financial advisory service, online trading, corporate financing, research, foreign exchange service, beneficiary certificates, investment consulting, financial derivatives, bonds, and mutual funds."
006040,006040 KS,006040_KS,동원산업,"Dongwon Industries Co., Ltd",필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Dongwon Industries Co., Ltd. is a deep-sea fishing company.  The Company produces and distributes fish can goods and processed seafood products including tuna sashimi."
006260,006260 KS,006260_KS,LS,LS Corp,산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"LS Corp is a holding company, which operated subsidiaries including LS Industrial Systems, LS Cable, LS-Nikko Copper and LS Mtron."
006280,006280 KS,006280_KS,녹십자,Green Cross Corporation,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,"Green Cross Corporation manufactures household medical drugs. The Company's product includes medicines for cold and fever, nutrition, antiseptic drug, and a lip balm."
006360,006360 KS,006360_KS,GS건설,GS Engineering & Construction Corporation,산업재,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,"GS Engineering & Construction Corp. contracts civil engineering and architectural works, residential and commercial building constructions, and plant installations.  The Company also builds educational, leisure, distribution, and environmental facilities."
006400,006400 KS,006400_KS,삼성SDI,"Samsung SDI Co., Ltd",테크놀로지,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,"Samsung SDI Co., Ltd. specializes in developing Lithium Ion Battery (LIB) technology. The Company also manufactures cathode ray tubes (CRTs) for televisions and computer monitors. Samsung SDI also produces liquid crystal display (LCD) components and rechargeable batteries for cellular phones, personal digital assistants (PDAs), Energy Storage Systems and solar panels."
006650,006650 KS,006650_KS,대한유화,"Korea Petrochemical Ind. Co., Ltd",소재,Materials,Materials,Chemicals,Commodity Chemicals,"Korea Petrochemical Ind Co., Ltd. manufactures chemical products such as high density polyethylene and polypropylene.  The Company also produces basic organic chemicals including ethylene, propylene, and mixed C4s.  Korea Petrochemical supplies its products to the industrial and home appliances, film, pipe, toy, electric wire, and medical instrument manufacturers."
006800,006800 KS,006800_KS,미래에셋증권,"Mirae Asset Daewoo Co., Ltd",금융,Financials,Financial Services,Capital Markets,Diversified Capital Markets,"Mirae Asset Securities Co.,Ltd. provides comprehensive wealth management services. The Company offers fixed income securities brokerage, securities dealing, equity underwriting, and other services. Mirae Asset Securities also deals with mergers and acquisitions, foreign currency, and financial derivatives."
007070,007070 KS,007070_KS,GS리테일,"GSRetail Co., Ltd",필수소비재,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail,"GS Retail Co., Ltd. operates a chain of retail stores. The Company provides beauty and skincare products, candles, gifts, perfumes, ornaments, bathroom accessories, and other products. GS Retail serves its customers in the Republic of South Korea."
007310,007310 KS,007310_KS,오뚜기,Ottogi Corporation,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Ottogi Corporation manufactures food seasonings and instant food, such as mayonnaise, ketchup, salad dressing, sesame and cooking oils, and instant curry. The Company also produces frozen salads, fruit preservatives, instant noodles, and canned tuna."
008770,008770 KS,008770_KS,호텔신라,"Hotel Shilla Co.,Ltd",임의소비재,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,"Hotel Shilla Co.,Ltd operates and manages hotels in Seoul and Jeju. The Company also operates duty free shops, bakeries, restaurants, and catering and laundry service businesses."
008930,008930 KS,008930_KS,한미사이언스,"Hanmi Science Co., Ltd",헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Hanmi Science Co., Ltd. produces pharmaceutical products, including antibiotics, vitamins, and intestinal tonics. The Company also provides beverages and processes soft capsules for other pharmaceutical firms."
009150,009150 KS,009150_KS,삼성전기,"Samsung Electro-Mechanics Co., Ltd",테크놀로지,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,"Samsung Electro-Mechanics Co., Ltd. manufactures a variety of electronic components used in computers, audio and video products, industrial electronics, and telecommunication equipment. The Company's products include multi-layer boards and capacitors, optical Pick Ups, deflection yokes (DY), keyboards, speakers, and light emitting diode (LED) products."
009240,009240 KS,009240_KS,한샘,"Hanssem Co., Ltd",임의소비재,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Hanssem Co., Ltd. manufactures kitchen furniture.  The Company's products include kitchen sinks, kitchen cabinets, dining tables and chairs, and kitchen accessories.  Hanssem also designs and manufactures interior products, such as sofas, bedsteads, closets, drawers, lamps, bathroom and office furniture."
009420,009420 KS,009420_KS,한올바이오파마,"HanAll Biopharma Co., Ltd",헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"HANALL BIOPHARMA CO., LTD. manufactures prescription drugs for hospitals. The Company specializes in making oral and non-oral antibiotics and amino-acid infusions."
009540,009540 KS,009540_KS,HD한국조선해양,HD Korea Shipbuilding & Offshore Engineering Co Lt,산업재,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd. operates as a shipbuilding and offshore company. The Company provides industrial plant engineering, special and naval shipbuilding, marine engine and machinery, industrial machinery and energy services. HD Korea Shipbuilding & Offshore Engineering markets its products worldwide."
009830,009830 KS,009830_KS,한화솔루션,Hanwha Chemical Corporation,소재,Materials,Materials,Chemicals,Commodity Chemicals,"Hanwha Solutions Corporation manufactures and distributes solar energy components. The Company provides power plants operation, electricity retail, photovoltaic cells and modules production, and other related services. Hanwha Solutions also offers petrochemical, plastic products manufacturing, and real estate services."
009900,009900 KS,009900_KS,명신산업,Myoung Shin Industrial Ltd,임의소비재,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Myoung Shin Industrial Co.,Ltd produces and sells auto parts. The Company provides hot stamping parts designing, manufacturing, sales, and other services. Myoung Shin Industrial markets its products throughout Korea."
010060,010060 KS,010060_KS,OCI홀딩스,OCI Company Ltd,소재,Materials,Materials,Chemicals,Diversified Chemicals,"OCI Holdings Company Ltd. operates chemical business. The Company manufactures inorganic chemicals, petroleum and coal chemicals, fine chemicals, renewable energy and insulation materials. OCI Holdings markets its products primarily throughout Korea with limited overseas."
010120,010120 KS,010120_KS,LS ELECTRIC,"LSIS Co., Ltd",산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"LS Electric Co., Ltd. manufactures and distributes electrical power equipment. The Company produces smart power equipment, smart automation equipment, smart railway equipment, and other related products. LS Electric also develops smart grid, micro grid, energy storage systems, and metal products."
010130,010130 KS,010130_KS,고려아연,"Korea Zinc Co., Ltd",소재,Materials,Materials,Metals & Mining,Diversified Metals & Mining,"Korea Zinc Company, Ltd. specializes in non-ferrous metal smelting industry. The Company manufactures zinc ingots, electrolytic gold, silver, lead, sulfuric acid, and copper. Korea Zinc provides its products to domestic and overseas markets."
010140,010140 KS,010140_KS,삼성중공업,"Samsung Heavy Industries Co., Ltd",산업재,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,"Samsung Heavy Industries Co., Ltd. manufactures crude oil tankers, container vessels, bulk carriers, cruisers, and passenger ferries.  The Company also produces steel and bridge structures, and material handling equipment.  In addition, Samsung Heavy Industries provides civil engineering, architectural, and plant construction services."
010620,010620 KS,010620_KS,현대미포조선,"Hyundai Mipo Dockyard Co., Ltd",산업재,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,"Hyundai Mipo Dockyard Co., Ltd. is shipbuilders in the sectors of medium-sized conventional ships and specialized vessels. The Company constructs and delivers medium-ranged product carriers, chemical tankers, containerships, LPG carriers, pure car truck carriers and others."
010780,010780 KS,010780_KS,아이에스동서,"IS DongSeo Co., Ltd",산업재,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,"IS Dongseo Co., Ltd. manufactures and markets construction materials, such as tiles, concrete made products, PC pipes, and piles.  The Company also produces sanitary ceramic fixtures and structural wood products."
010950,010950 KS,010950_KS,S-Oil,S-Oil Corporation,에너지,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,"S-Oil Corporation refines crude oil and sells petroleum and its related products. The Company mainly focuses on petroleum refining, petrochemical, and lubricant business. S-Oil's major products are gasoline, bunker oil, kerosene, naphtha, lubricants, benzene, toluene, and xylene."
011070,011070 KS,011070_KS,LG이노텍,"LG Innotek Co., Ltd",테크놀로지,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,"LG Innotek Co., Ltd. develops and produces cellular phone parts such as mini vibration motors, LCD modules, light emitting diode (LED), camera modules, protection circuit modules. The Company also manufactures liquid crystal displays (LCD) and plasma display panels (PDP) parts such as inverters, intelligent power modules, multi chip modules, and tuners."
