,last_update_date
CNA_UN,20230601
CNC_UN,20230601
CNM_UN,20230601
CNP_UN,20230601
CNXC_UW,20230601
COF_UN,20230601
COHR_UN,20230601
COIN_UW,20230601
COLB_UW,20230601
COLD_UN,20230601
COLM_UW,20230601
COO_UN,20230601
COP_UN,20230601
COST_UW,20230601
COTY_UN,20230601
CPA_UN,20230601
CPB_UN,20230601
CPRI_UN,20230601
CPRT_UW,20230601
CPT_UN,20230601
CR_UN,20230601
CRBG_UN,20230601
CRI_UN,20230601
CRL_UN,20230601
CRM_UN,20230601
CRUS_UW,20230601
CRWD_UW,20230601
CSCO_UW,20230601
CSGP_UW,20230601
CSL_UN,20230601
CSX_UW,20230601
CTAS_UW,20230601
CTLT_UN,20230601
CTRA_UN,20230601
CTSH_UW,20230601
CTVA_UN,20230601
CUBE_UN,20230601
CUZ_UN,20230601
CVNA_UN,20230601
CVS_UN,20230601
CVX_UN,20230601
CW_UN,20230601
CXT_UN,20230601
CZR_UW,20230601
D_UN,20230601
DAL_UN,20230601
DAR_UN,20230601
DASH_UN,20230601
DBX_UW,20230601
DCI_UN,20230601
DD_UN,20230601
DDOG_UW,20230601
DE_UN,20230601
DECK_UN,20230601
DEI_UN,20230601
DELL_UN,20230601
DFS_UN,20230601
DG_UN,20230601
DGX_UN,20230601
DH_UW,20230601
DHI_UN,20230601
DHR_UN,20230601
DINO_UN,20230601
DIS_UN,20230601
DISH_UW,20230601
DKNG_UW,20230601
DKS_UN,20230601
DLB_UN,20230601
DLR_UN,20230601
DLTR_UW,20230601
DNA_UN,20230601
DNB_UN,20230601
DOCS_UN,20230601
DOCU_UW,20230601
DOV_UN,20230601
DOW_UN,20230601
DOX_UW,20230601
DPZ_UN,20230601
DRI_UN,20230601
DRVN_UW,20230601
DT_UN,20230601
DTE_UN,20230601
DTM_UN,20230601
DUK_UN,20230601
DV_UN,20230601
DVA_UN,20230601
DVN_UN,20230601
DXC_UN,20230601
DXCM_UW,20230601
EA_UW,20230601
EBAY_UW,20230601
ECL_UN,20230601
ED_UN,20230601
EEFT_UW,20230601
EFX_UN,20230601
EGP_UN,20230601
EHAB_UN,20230601
EHC_UN,20230601
EIX_UN,20230601
EL_UN,20230601
ELAN_UN,20230601
ELS_UN,20230601
ELV_UN,20230601
EMN_UN,20230601
EMR_UN,20230601
ENOV_UN,20230601
ENPH_UQ,20230601
ENTG_UW,20230601
EOG_UN,20230601
EPAM_UN,20230601
EPR_UN,20230601
EQH_UN,20230601
EQIX_UW,20230601
EQR_UN,20230601
EQT_UN,20230601
ERIE_UW,20230601
ES_UN,20230601
ESAB_UN,20230601
ESI_UN,20230601
ESS_UN,20230601
ESTC_UN,20230601
ETN_UN,20230601
ETR_UN,20230601
ETSY_UW,20230601
EVA_UN,20230601
EVR_UN,20230601
EVRG_UW,20230601
EW_UN,20230601
EWBC_UW,20230601
EXAS_UR,20230601
EXC_UW,20230601
EXEL_UW,20230601
EXP_UN,20230601
EXPD_UW,20230601
EXPE_UW,20230601
EXR_UN,20230601
F_UN,20230601
FAF_UN,20230601
FANG_UW,20230601
FAST_UW,20230601
FBIN_UN,20230601
FCN_UN,20230601
FCNCA_UW,20230601
FCX_UN,20230601
FDS_UN,20230601
FDX_UN,20230601
FE_UN,20230601
FFIV_UW,20230601
FG_UN,20230601
FHB_UW,20230601
FHN_UN,20230601
FICO_UN,20230601
FIS_UN,20230601
FISV_UW,20230601
FITB_UW,20230601
FIVE_UW,20230601
FIVN_UQ,20230601
FLO_UN,20230601
FLS_UN,20230601
FLT_UN,20230601
FMC_UN,20230601
FNB_UN,20230601
FND_UN,20230601
FNF_UN,20230601
FOUR_UN,20230601
FOX_UW,20230601
FOXA_UW,20230601
FR_UN,20230601
FRPT_UQ,20230601
FRT_UN,20230601
FSLR_UW,20230601
FTNT_UW,20230601
FTV_UN,20230601
FWONA_UW,20230601
FWONK_UW,20230601
FYBR_UW,20230601
G_UN,20230601
GD_UN,20230601
GDDY_UN,20230601
GE_UN,20230601
GEHC_UW,20230601
GEN_UW,20230601
GFS_UW,20230601
GGG_UN,20230601
GH_UW,20230601
GILD_UW,20230601
GIS_UN,20230601
GL_UN,20230601
GLOB_UN,20230601
GLPI_UW,20230601
GLW_UN,20230601
GM_UN,20230601
GME_UN,20230601
GMED_UN,20230601
GNRC_UN,20230601
GNTX_UW,20230601
GO_UW,20230601
GOOG_UW,20230601
GOOGL_UW,20230601
GPC_UN,20230601
GPK_UN,20230601
GPN_UN,20230601
GPS_UN,20230601
GRMN_UN,20230601
GS_UN,20230601
GTES_UN,20230601
GWRE_UN,20230601
GWW_UN,20230601
GXO_UN,20230601
H_UN,20230601
HAL_UN,20230601
HAS_UW,20230601
HAYW_UN,20230601
HBAN_UW,20230601
HBI_UN,20230601
HCA_UN,20230601
HD_UN,20230601
HE_UN,20230601
HEI_UN,20230601
HEI_A_UN,20230601
HES_UN,20230601
HHC_UN,20230601
HIG_UN,20230601
HII_UN,20230601
HIW_UN,20230601
HLT_UN,20230601
HOG_UN,20230601
HOLX_UW,20230601
HON_UW,20230601
HOOD_UW,20230601
HPE_UN,20230601
HPP_UN,20230601
HPQ_UN,20230601
HR_UN,20230601
HRB_UN,20230601
HRL_UN,20230601
HSIC_UW,20230601
HST_UW,20230601
HSY_UN,20230601
HTZ_UW,20230601
HUBB_UN,20230601
HUBS_UN,20230601
HUM_UN,20230601
HUN_UN,20230601
HWM_UN,20230601
HXL_UN,20230601
HZNP_UW,20230601
IAC_UW,20230601
IART_UW,20230601
IBKR_UW,20230601
IBM_UN,20230601
ICE_UN,20230601
ICUI_UW,20230601
IDA_UN,20230601
IDXX_UW,20230601
IEX_UN,20230601
IFF_UN,20230601
ILMN_UW,20230601
INCY_UW,20230601
INFA_UN,20230601
INGR_UN,20230601
INTC_UW,20230601
INTU_UW,20230601
INVH_UN,20230601
IONS_UW,20230601
IP_UN,20230601
IPG_UN,20230601
IPGP_UW,20230601
IQV_UN,20230601
IR_UN,20230601
IRM_UN,20230601
ISRG_UW,20230601
IT_UN,20230601
ITT_UN,20230601
ITW_UN,20230601
IVZ_UN,20230601
J_UN,20230601
JAMF_UW,20230601
JAZZ_UW,20230601
JBGS_UN,20230601
JBHT_UW,20230601
JBL_UN,20230601
JBLU_UW,20230601
JCI_UN,20230601
JEF_UN,20230601
JHG_UN,20230601
JKHY_UW,20230601
JLL_UN,20230601
JNJ_UN,20230601
JNPR_UN,20230601
JPM_UN,20230601
JWN_UN,20230601
K_UN,20230601
KBR_UN,20230601
KD_UN,20230601
KDP_UW,20230601
KEX_UN,20230601
KEY_UN,20230601
KEYS_UN,20230601
KHC_UW,20230601
KIM_UN,20230601
KKR_UN,20230601
KLAC_UW,20230601
KMB_UN,20230601
KMI_UN,20230601
KMPR_UN,20230601
KMX_UN,20230601
KNF_UN,20230601
KNX_UN,20230601
KO_UN,20230601
KR_UN,20230601
KRC_UN,20230601
KSS_UN,20230601
L_UN,20230601
LAD_UN,20230601
LAMR_UW,20230601
LAZ_UN,20230601
LBRDA_UW,20230601
LBRDK_UW,20230601
LCID_UW,20230601
LDOS_UN,20230601
LEA_UN,20230601
LECO_UW,20230601
LEG_UN,20230601
LEN_UN,20230601
LEN_B_UN,20230601
LESL_UW,20230601
LFUS_UW,20230601
LH_UN,20230601
LHX_UN,20230601
LII_UN,20230601
LIN_UN,20230601
LITE_UW,20230601
LKQ_UW,20230601
LLY_UN,20230601
LMT_UN,20230601
LNC_UN,20230601
LNG_UA,20230601
LNT_UW,20230601
LOPE_UW,20230601
LOW_UN,20230601
LPLA_UW,20230601
LPX_UN,20230601
LRCX_UW,20230601
LSCC_UW,20230601
LSI_UN,20230601
LSTR_UW,20230601
LSXMA_UW,20230601
LSXMK_UW,20230601
LULU_UW,20230601
LUMN_UN,20230601
LUV_UN,20230601
LVS_UN,20230601
LW_UN,20230601
LYB_UN,20230601
LYFT_UW,20230601
LYV_UN,20230601
M_UN,20230601
MA_UN,20230601
MAA_UN,20230601
MAN_UN,20230601
MANH_UW,20230601
MAR_UW,20230601
MAS_UN,20230601
MASI_UW,20230601
MAT_UW,20230601
MBC_UN,20230601
MCD_UN,20230601
MCHP_UW,20230601
MCK_UN,20230601
MCO_UN,20230601
MCW_UN,20230601
MDB_UQ,20230601
MDLZ_UW,20230601
MDT_UN,20230601
MDU_UN,20230601
MET_UN,20230601
META_UW,20230601
MGM_UN,20230601
MHK_UN,20230601
MIDD_UW,20230601
MKC_UN,20230601
MKL_UN,20230601
MKSI_UW,20230601
MKTX_UW,20230601
MLM_UN,20230601
MMC_UN,20230601
MMM_UN,20230601
MNST_UW,20230601
MO_UN,20230601
MOH_UN,20230601
MORN_UW,20230601
MOS_UN,20230601
MP_UN,20230601
MPC_UN,20230601
MPW_UN,20230601
MPWR_UW,20230601
MRCY_UW,20230601
MRK_UN,20230601
MRNA_UW,20230601
MRO_UN,20230601
MRTX_UW,20230601
MRVI_UW,20230601
MRVL_UW,20230601
MS_UN,20230601
MSA_UN,20230601
MSCI_UN,20230601
MSFT_UW,20230601
MSGS_UN,20230601
MSI_UN,20230601
MSM_UN,20230601
MTB_UN,20230601
MTCH_UW,20230601
MTD_UN,20230601
MTG_UN,20230601
MTN_UN,20230601
MTZ_UN,20230601
MU_UW,20230601
NATI_UW,20230601
NBIX_UW,20230601
NCLH_UN,20230601
NCNO_UW,20230601
NCR_UN,20230601
NDAQ_UW,20230601
NDSN_UW,20230601
NEE_UN,20230601
NEM_UN,20230601
NET_UN,20230601
NEU_UN,20230601
NEWR_UN,20230601
NFE_UW,20230601
NFG_UN,20230601
NFLX_UW,20230601
NI_UN,20230601
NKE_UN,20230601
NLY_UN,20230601
NNN_UN,20230601
NOC_UN,20230601
NOV_UN,20230601
NOW_UN,20230601
NRG_UN,20230601
NSA_UN,20230601
NSC_UN,20230601
NTAP_UW,20230601
NTNX_UW,20230601
NTRA_UW,20230601
NTRS_UW,20230601
NUE_UN,20230601
NVAX_UW,20230601
NVCR_UW,20230601
NVDA_UW,20230601
NVR_UN,20230601
NVST_UN,20230601
NVT_UN,20230601
NWL_UW,20230601
NWS_UW,20230601
NWSA_UW,20230601
NXST_UW,20230601
NYCB_UN,20230601
NYT_UN,20230601
O_UN,20230601
OC_UN,20230601
ODFL_UW,20230601
OGE_UN,20230601
OGN_UN,20230601
OHI_UN,20230601
OKE_UN,20230601
OKTA_UW,20230601
OLED_UW,20230601
OLLI_UQ,20230601
OLN_UN,20230601
OLPX_UW,20230601
OMC_UN,20230601
OMF_UN,20230601
ON_UW,20230601
OPEN_UW,20230601
ORCL_UN,20230601
ORI_UN,20230601
ORLY_UW,20230601
OSK_UN,20230601
OTIS_UN,20230601
OVV_UN,20230601
OWL_UN,20230601
OXY_UN,20230601
OZK_UW,20230601
PACW_UW,20230601
PAG_UN,20230601
PANW_UW,20230601
PARA_UW,20230601
PARAA_UW,20230601
PATH_UN,20230601
PAYC_UN,20230601
PAYX_UW,20230601
PB_UN,20230601
PCAR_UW,20230601
PCG_UN,20230601
PCOR_UN,20230601
PCTY_UW,20230601
PDCE_UW,20230601
PEAK_UN,20230601
PEG_UN,20230601
PEGA_UW,20230601
PEN_UN,20230601
PENN_UW,20230601
PEP_UW,20230601
PFE_UN,20230601
PFG_UW,20230601
PFGC_UN,20230601
PG_UN,20230601
PGR_UN,20230601
PH_UN,20230601
PHM_UN,20230601
PII_UN,20230601
PINC_UW,20230601
PINS_UN,20230601
PK_UN,20230601
PKG_UN,20230601
PLD_UN,20230601
PLNT_UN,20230601
PLTK_UW,20230601
PLTR_UN,20230601
PLUG_UR,20230601
PM_UN,20230601
PNC_UN,20230601
PNFP_UW,20230601
PNR_UN,20230601
PNW_UN,20230601
PODD_UW,20230601
POOL_UW,20230601
POST_UN,20230601
PPC_UW,20230601
PPG_UN,20230601
PPL_UN,20230601
PRGO_UN,20230601
PRI_UN,20230601
PRU_UN,20230601
PSA_UN,20230601
PSTG_UN,20230601
PSX_UN,20230601
PTC_UW,20230601
PTON_UW,20230601
PVH_UN,20230601
PWR_UN,20230601
PXD_UN,20230601
PYCR_UW,20230601
PYPL_UW,20230601
QCOM_UW,20230601
QDEL_UW,20230601
QGEN_UN,20230601
QRVO_UW,20230601
QS_UN,20230601
R_UN,20230601
RARE_UW,20230601
RBA_UN,20230601
RBLX_UN,20230601
RCL_UN,20230601
RE_UN,20230601
REG_UW,20230601
REGN_UW,20230601
REXR_UN,20230601
REYN_UW,20230601
RF_UN,20230601
RGA_UN,20230601
RGEN_UW,20230601
RGLD_UW,20230601
RH_UN,20230601
RHI_UN,20230601
RITM_UN,20230601
RIVN_UW,20230601
RJF_UN,20230601
RKT_UN,20230601
RL_UN,20230601
RMD_UN,20230601
RNG_UN,20230601
RNR_UN,20230601
ROK_UN,20230601
ROKU_UW,20230601
ROL_UN,20230601
ROP_UN,20230601
ROST_UW,20230601
RPM_UN,20230601
RPRX_UW,20230601
RRC_UN,20230601
RRX_UN,20230601
RS_UN,20230601
RSG_UN,20230601
RTX_UN,20230601
RUN_UW,20230601
RVTY_UN,20230601
RXO_UN,20230601
RYAN_UN,20230601
RYN_UN,20230601
S_UN,20230601
SAIC_UN,20230601
SAM_UN,20230601
SBAC_UW,20230601
SBUX_UW,20230601
SCCO_UN,20230601
SCHW_UN,20230601
SCI_UN,20230601
SEB_UA,20230601
SEE_UN,20230601
SEIC_UW,20230601
SF_UN,20230601
SGEN_UW,20230601
SHC_UW,20230601
SHW_UN,20230601
SIRI_UW,20230601
SITE_UN,20230601
SIX_UN,20230601
SJM_UN,20230601
SKX_UN,20230601
SLB_UN,20230601
SLG_UN,20230601
SLGN_UN,20230601
SLM_UW,20230601
SMAR_UN,20230601
SMG_UN,20230601
SNA_UN,20230601
SNDR_UN,20230601
SNOW_UN,20230601
SNPS_UW,20230601
SNV_UN,20230601
SNX_UN,20230601
SO_UN,20230601
SOFI_UW,20230601
SON_UN,20230601
SPB_UN,20230601
SPG_UN,20230601
SPGI_UN,20230601
SPLK_UW,20230601
SPOT_UN,20230601
SPR_UN,20230601
SQ_UN,20230601
SRC_UN,20230601
SRCL_UW,20230601
SRE_UN,20230601
SRPT_UW,20230601
SSNC_UW,20230601
SSRM_UW,20230601
ST_UN,20230601
STE_UN,20230601
STLD_UW,20230601
STT_UN,20230601
STWD_UN,20230601
STZ_UN,20230601
SUI_UN,20230601
SWK_UN,20230601
SWKS_UW,20230601
SWN_UN,20230601
SYF_UN,20230601
SYK_UN,20230601
SYNH_UW,20230601
SYY_UN,20230601
T_UN,20230601
TAP_UN,20230601
TDC_UN,20230601
TDG_UN,20230601
TDOC_UN,20230601
TDY_UN,20230601
TEAM_UW,20230601
TECH_UW,20230601
TER_UW,20230601
TFC_UN,20230601
TFSL_UW,20230601
TFX_UN,20230601
TGT_UN,20230601
THC_UN,20230601
THG_UN,20230601
THO_UN,20230601
TJX_UN,20230601
TKR_UN,20230601
TMO_UN,20230601
TMUS_UW,20230601
TNDM_UQ,20230601
TNL_UN,20230601
TOL_UN,20230601
TOST_UN,20230601
TPL_UN,20230601
TPR_UN,20230601
TPX_UN,20230601
TREX_UN,20230601
TRGP_UN,20230601
TRIP_UW,20230601
TRMB_UW,20230601
TROW_UW,20230601
TRU_UN,20230601
TRV_UN,20230601
TSCO_UW,20230601
TSLA_UW,20230601
TSN_UN,20230601
TT_UN,20230601
TTC_UN,20230601
TTD_UQ,20230601
TTEK_UW,20230601
TTWO_UW,20230601
TW_UW,20230601
TWKS_UW,20230601
TWLO_UN,20230601
TXG_UW,20230601
TXN_UW,20230601
TXT_UN,20230601
TYL_UN,20230601
U_UN,20230601
UA_UN,20230601
UAA_UN,20230601
UAL_UW,20230601
UBER_UN,20230601
UDR_UN,20230601
UGI_UN,20230601
UHAL_UN,20230601
UHAL_B_UN,20230601
UHS_UN,20230601
UI_UN,20230601
ULTA_UW,20230601
UNH_UN,20230601
UNM_UN,20230601
UNP_UN,20230601
UNVR_UN,20230601
UPS_UN,20230601
UPST_UW,20230601
URI_UN,20230601
USB_UN,20230601
USFD_UN,20230601
UTHR_UW,20230601
UWMC_UN,20230601
V_UN,20230601
VAC_UN,20230601
VEEV_UN,20230601
VFC_UN,20230601
VICI_UN,20230601
VIRT_UW,20230601
VLO_UN,20230601
VMC_UN,20230601
VMI_UN,20230601
VMW_UN,20230601
VNO_UN,20230601
VNT_UN,20230601
VOYA_UN,20230601
VRSK_UW,20230601
VRSN_UW,20230601
VRT_UN,20230601
VRTX_UW,20230601
VSAT_UW,20230601
VSCO_UN,20230601
VST_UN,20230601
VTR_UN,20230601
VTRS_UW,20230601
VTS_UN,20230601
VVV_UN,20230601
VZ_UN,20230601
W_UN,20230601
WAB_UN,20230601
WAL_UN,20230601
WAT_UN,20230601
WBA_UW,20230601
WBD_UW,20230601
WBS_UN,20230601
WCC_UN,20230601
WDAY_UW,20230601
WDC_UW,20230601
WE_UN,20230601
WEC_UN,20230601
WELL_UN,20230601
WEN_UW,20230601
WEX_UN,20230601
WFC_UN,20230601
WH_UN,20230601
WHR_UN,20230601
WIX_UW,20230601
WLK_UN,20230601
WM_UN,20230601
WMB_UN,20230601
WMS_UN,20230601
WMT_UN,20230601
WOLF_UN,20230601
WOOF_UW,20230601
WPC_UN,20230601
WRB_UN,20230601
WRK_UN,20230601
WSC_UR,20230601
WSM_UN,20230601
WSO_UN,20230601
WST_UN,20230601
WTFC_UW,20230601
WTM_UN,20230601
WTRG_UN,20230601
WTW_UW,20230601
WU_UN,20230601
WWD_UW,20230601
WWE_UN,20230601
WY_UN,20230601
WYNN_UW,20230601
X_UN,20230601
XEL_UW,20230601
XOM_UN,20230601
XPO_UN,20230601
XRAY_UW,20230601
XYL_UN,20230601
YETI_UN,20230601
YUM_UN,20230601
Z_UW,20230601
ZBH_UN,20230601
ZBRA_UW,20230601
ZG_UW,20230601
ZI_UW,20230601
ZION_UW,20230601
ZM_UW,20230601
ZS_UW,20230601
ZTS_UN,20230601
AADI_UR,20230601
AAN_UN,20230601
AAON_UW,20230601
AAT_UN,20230601
ABCB_UW,20230601
ABCL_UW,20230601
ABG_UN,20230601
ABM_UN,20230601
ABR_UN,20230601
ABSI_UW,20230601
ABUS_UW,20230601
AC_UN,20230601
ACA_UN,20230601
ACAD_UW,20230601
ACCD_UW,20230601
ACCO_UN,20230601
ACDC_UW,20230601
ACEL_UN,20230601
ACET_UQ,20230601
ACHR_UN,20230601
ACIW_UW,20230601
ACLS_UW,20230601
ACLX_UW,20230601
ACMR_UQ,20230601
ACNB_UR,20230601
ACRE_UN,20230601
ACRS_UW,20230601
ACRV_UQ,20230601
