kospi_ticker,russell_ticker,corr,distance,rmse,ks_len,rs_len
000990 KS,RPAY UR,0.3183288782057613,30.37220859897493,1.2117445575167813,1266,1266
000990 KS,RPD UQ,0.8025303753429571,15.879341482958212,0.750390610306269,2044,2044
000990 KS,RXT UW,0.0,19.922015498848783,1.011790140924894,734,734
000990 KS,SABR UW,-0.757368280750768,335.58920294948,7.2012633469515155,2183,2183
000990 KS,SANM UW,0.6290481484646582,261.06526022205105,6.427821407949246,2183,2183
000990 KS,SCSC UW,-0.4278113009387589,324.89812103022655,7.070991110986775,2183,2183
000990 KS,SCWX UW,0.12419356155530298,42.40469007919373,1.298402401941236,1846,1846
000990 KS,SGH UW,0.7134448302322649,13.16111195378361,1.099030336899995,1563,1563
000990 KS,SITM UQ,0.82176951104904,123.4356038875364,4.923714698629557,916,916
000990 KS,SKYT UR,0.08670749036495892,5.146193599992307,0.47948748038874084,551,551
000990 KS,SLAB UW,0.8488741350041588,229.02713203961284,5.652090193773454,2183,2183
000990 KS,SMCI UW,0.5502266467237591,160.48114409089717,6.764931376761713,2183,2183
000990 KS,SMRT UN,0.37889583683235595,8.293369138842875,0.47154782881005375,604,604
000990 KS,SMTC UW,0.6195171537703892,271.101235215309,6.269483201681778,2183,2183
000990 KS,SPNS UW,0.82276437885,220.58263811954146,5.257021805036544,2183,2183
000990 KS,SPSC UW,0.8915879646903075,180.57890458990724,5.067750323913543,2183,2183
000990 KS,SPT UR,0.6569079801474444,39.20613030080267,1.970696728490835,900,900
000990 KS,SQSP UN,0.28008468894836497,5.158363176321875,0.4899178312661756,531,531
000990 KS,SSTI UR,0.1528539673602488,12.131625463280287,1.2505073405173908,1553,1553
000990 KS,STNE UW,0.0,90.35408990420026,3.231622445551122,1194,1194
000990 KS,SWI UN,-0.43924178017591187,92.16241257858809,2.7604436695948555,1198,1198
000990 KS,SYNA UW,0.8394138839830986,243.6884757141433,6.288469159604161,2183,2183
000990 KS,TCX UR,0.4170723412847246,237.41333132932968,5.463742391603251,2183,2183
000990 KS,TENB UW,0.8662303387795679,38.353072883739785,1.370165369927176,1259,1259
000990 KS,TGAN UR,0.2560316488912018,2.8071310472777573,0.2185279747874589,332,332
000990 KS,TLS UQ,0.11100143330616818,18.899904296940345,1.0529470603525501,658,658
000990 KS,TTEC UW,0.8170730858260897,238.65679339034162,5.703866338251887,2183,2183
000990 KS,TTMI UW,0.297811067587203,278.559781455193,6.3044600787465805,2183,2183
000990 KS,UCTT UW,0.871225999164735,189.25207432860532,5.0947626360037495,2183,2183
000990 KS,UIS UN,0.2855428840655717,333.7495029135288,7.314569126008884,2183,2183
000990 KS,UPLD UQ,0.10883726170898689,246.32232390641767,5.939748568536698,2183,2183
000990 KS,VECO UW,0.23315312126446588,330.82268029921056,7.2545260057194465,2183,2183
000990 KS,VERI UQ,0.25694011456055826,30.94789400204488,1.2034428773288115,1571,1571
000990 KS,VIAV UW,0.6847727779551225,286.3944382794506,6.393919013554859,2183,2183
000990 KS,VPG UN,0.4878311405869414,269.671591439259,6.340440034571651,2183,2183
000990 KS,VRNS UW,0.7900115022946986,201.29204102874277,5.338034476894209,2183,2183
000990 KS,VRNT UW,0.8526945950117378,297.3145470892491,6.750445580279863,2183,2183
