ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
032830 KS Equity,Financials,Insurance,Insurance,Life & Health Insurance
033780 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
034020 KS Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
034220 KS Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
034730 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
035250 KS Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
035420 KS Equity,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
035720 KS Equity,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
036460 KS Equity,Utilities,Utilities,Gas Utilities,Gas Utilities
036570 KS Equity,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
039130 KS Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
039490 KS Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
042660 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
042670 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
047040 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
047050 KS Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
047810 KS Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
051600 KS Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services
051900 KS Equity,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
051910 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
052690 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
055550 KS Equity,Financials,Banks,Banks,Diversified Banks
057050 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
064350 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
066570 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
068270 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
069260 KS Equity,Materials,Materials,Chemicals,Specialty Chemicals
069620 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
069960 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
071050 KS Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
073240 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber
078930 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
079550 KS Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
081660 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
086280 KS Equity,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
086790 KS Equity,Financials,Banks,Banks,Diversified Banks
088350 KS Equity,Financials,Insurance,Insurance,Life & Health Insurance
090430 KS Equity,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
093370 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
096770 KS Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
097950 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
103140 KS Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining
105560 KS Equity,Financials,Banks,Banks,Diversified Banks
105630 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
111770 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
112610 KS Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
114090 KS Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
120110 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
128940 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
137310 KS Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
138040 KS Equity,Financials,Financial Services,Financial Services,Diversified Financial Services
138930 KS Equity,Financials,Banks,Banks,Regional Banks
139130 KS Equity,Financials,Banks,Banks,Regional Banks
139480 KS Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R
161390 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber
161890 KS Equity,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
175330 KS Equity,Financials,Banks,Banks,Diversified Banks
178920 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
180640 KS Equity,Industrials,Transportation,Passenger Airlines,Passenger Airlines
185750 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
192080 KS Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
192820 KS Equity,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
204320 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
207940 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
241560 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
241590 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear
251270 KS Equity,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
259960 KS Equity,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
267250 KS Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
271560 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
271940 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
272210 KS Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
280360 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
282330 KS Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
284740 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail
285130 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
294870 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
298020 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
298050 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
300720 KS Equity,Materials,Materials,Construction Materials,Construction Materials
302440 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
316140 KS Equity,Financials,Banks,Banks,Diversified Banks
323410 KS Equity,Financials,Banks,Banks,Diversified Banks
326030 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
329180 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
336260 KS Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
352820 KS Equity,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
361610 KS Equity,Materials,Materials,Chemicals,Specialty Chemicals
373220 KS Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
375500 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
377300 KS Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
381970 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
383220 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
402340 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
