ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
AMED UW Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMEH UR Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMG UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AMGN UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMH UN Equity,Real Estate,Equity Real Estate Investment,Residential REITs,Single-Family Residential REIT
AMK UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AMKR UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AMLX UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMN UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMNB UW Equity,Financials,Banks,Banks,Regional Banks
AMOT UQ Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMP UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AMPH UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMPL UR Equity,Information Technology,Software & Services,Software,Application Software
AMPS UN Equity,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity
AMPY UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
AMR UN Equity,Materials,Materials,Metals & Mining,Steel
AMRC UN Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AMRK UW Equity,Financials,Financial Services,Financial Services,Specialized Finance
AMRS UW Equity,Materials,Materials,Chemicals,Specialty Chemicals
AMRX UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMSF UW Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
AMSWA UW Equity,Information Technology,Software & Services,Software,Application Software
AMT UN Equity,Real Estate,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs
AMTB UW Equity,Financials,Banks,Banks,Regional Banks
AMTX UQ Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
AMWD UW Equity,Industrials,Capital Goods,Building Products,Building Products
AMWL UN Equity,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology
AMZN UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
AN UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ANAB UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ANDE UW Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors
ANET UN Equity,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ANF UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
ANGO UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ANIK UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ANIP UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ANSS UW Equity,Information Technology,Software & Services,Software,Application Software
ANTX UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AOMR UN Equity,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AON UN Equity,Financials,Insurance,Insurance,Insurance Brokers
AORT UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AOS UN Equity,Industrials,Capital Goods,Building Products,Building Products
AOSL UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
APA UW Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
APAM UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
APD UN Equity,Materials,Materials,Chemicals,Industrial Gases
APEI UW Equity,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
APG UN Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
APH UN Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
APLD UW Equity,Information Technology,Software & Services,Software,Application Software
APLE UN Equity,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
APLS UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
APO UN Equity,Financials,Financial Services,Financial Services,Diversified Financial Services
APOG UW Equity,Industrials,Capital Goods,Building Products,Building Products
APP UW Equity,Information Technology,Software & Services,Software,Application Software
APPF UQ Equity,Information Technology,Software & Services,Software,Application Software
APPH UW Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
APPN UQ Equity,Information Technology,Software & Services,Software,Systems Software
APPS UR Equity,Information Technology,Software & Services,Software,Application Software
APTV UN Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
AR UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
ARCB UW Equity,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
ARCH UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
ARCT UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ARE UN Equity,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
AREN UA Equity,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
ARES UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
ARGO UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
ARI UN Equity,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ARIS UN Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ARKO UR Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ARL UN Equity,Real Estate,Real Estate Management & Devel,Real Estate Management & Devel,Real Estate Operating Companie
ARLO UN Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
ARMK UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
ARNC UN Equity,Materials,Materials,Metals & Mining,Aluminum
AROC UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
AROW UW Equity,Financials,Banks,Banks,Regional Banks
ARQT UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ARR UN Equity,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ARRY UQ Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
ARTNA UW Equity,Utilities,Utilities,Water Utilities,Water Utilities
ARVN UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ARW UN Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
ARWR UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ASAN UN Equity,Information Technology,Software & Services,Software,Application Software
ASB UN Equity,Financials,Banks,Banks,Regional Banks
ASC UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
ASGN UN Equity,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ASH UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
ASIX UN Equity,Materials,Materials,Chemicals,Commodity Chemicals
ASLE UR Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ASO UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
ASPN UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
ASTE UW Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ASTR UR Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
