ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
2948,Consumer Staples,004370_KS,001680_KS,0.0,0.0,0.0,0.0,0.0,"Nongshim Co., Ltd",Daesang Corporation,0.0
2949,Consumer Staples,006040_KS,033780_KS,0.0,0.0,0.0,0.0,0.0,"Dongwon Industries Co., Ltd",KT&G Corporation,0.0
2950,Consumer Staples,006040_KS,192820_KS,0.0,0.0,0.0,0.0,0.0,"Dongwon Industries Co., Ltd",Cosmax Inc,0.0
2951,Consumer Staples,006040_KS,280360_KS,0.0,0.0,0.0,0.0,0.0,"Dongwon Industries Co., Ltd",Lotte Confectionery Co. Ltd,0.0
2952,Consumer Staples,033780_KS,003230_KS,0.0,0.0,0.0,0.0,0.0,KT&G Corporation,"Samyang Foods Co., Ltd",0.0
2953,Consumer Staples,033780_KS,001800_KS,0.0,0.0,0.0,0.0,0.0,KT&G Corporation,ORION Holdings Corp,0.0
2954,Consumer Staples,033780_KS,006040_KS,0.0,0.0,0.0,0.0,0.0,KT&G Corporation,"Dongwon Industries Co., Ltd",0.0
2955,Consumer Staples,033780_KS,090430_KS,0.0,0.0,0.0,0.0,0.0,KT&G Corporation,Amorepacific Corporation,0.0
2956,Consumer Staples,001800_KS,004370_KS,0.0,0.0,0.0,0.0,0.0,ORION Holdings Corp,"Nongshim Co., Ltd",0.0
2957,Consumer Staples,001800_KS,033780_KS,0.0,0.0,0.0,0.0,0.0,ORION Holdings Corp,KT&G Corporation,0.0
2958,Consumer Staples,002790_KS,033780_KS,0.0,0.0,0.0,0.0,0.0,AMOREPACIFIC Group,KT&G Corporation,0.0
2959,Consumer Staples,002790_KS,271560_KS,0.0,0.0,0.0,0.0,0.0,AMOREPACIFIC Group,Orion Corp,0.0
2960,Consumer Staples,026960_KS,271560_KS,0.0,0.0,0.0,0.0,0.0,Dongsuh,Orion Corp,0.0
2961,Consumer Staples,026960_KS,282330_KS,0.0,0.0,0.0,0.0,0.0,Dongsuh,"BGF retail CO., LTD",0.0
