kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,corr_px,+,weight,,
005930 KS,PLAB UW,61,61,0.37024001,0.485706643,0.855946653,1.228656328,,
009150 KS,SKYT UR,61,61,0.311283206,0.584727221,0.896010427,1.221266566,,
009150 KS,OLED UW,61,61,0.327578206,0.554436156,0.882014362,1.220188965,,
018260 KS,DT UN,61,61,0.298748134,0.606190917,0.904939051,1.220133568,,
005930 KS,MA UN,61,61,0.296087013,0.609717668,0.905804681,1.218793707,,
018260 KS,MEI UN,61,61,0.429470997,0.369975567,0.799446564,1.218734329,,
034220 KS,QLYS UW,61,61,0.311992266,0.5807309,0.892723167,1.21836078,,
009150 KS,HPE UN,61,61,0.272581012,0.65067454,0.923255552,1.217424578,,
000660 KS,ADBE UW,61,61,0.269659145,0.655672653,0.925331798,1.217155172,,
005930 KS,WDAY UW,61,61,0.307982559,0.586767138,0.894749697,1.217112851,,
009150 KS,FORM UW,61,61,0.339672812,0.527198862,0.866871674,1.214314017,,
018260 KS,SPLK UW,61,61,0.281098447,0.62759849,0.908696938,1.209129916,,
011070 KS,RGTI UR,61,61,0.260744536,0.660399356,0.921143892,1.205100896,,
018260 KS,NTCT UW,61,61,0.305406432,0.579155437,0.884561868,1.204046234,,
018260 KS,JBL UN,61,61,0.299185021,0.590273135,0.889458156,1.20398009,,
018260 KS,ACN UN,61,61,0.376877161,0.448026,0.824903161,1.201165205,,
005930 KS,MKSI UW,61,61,0.405331428,0.396289061,0.801620489,1.200518766,,
009150 KS,INFA UN,61,61,0.285378462,0.608519779,0.893898241,1.196974097,,
402340 KS,ENTG UW,61,61,0.275610479,0.625915141,0.90152562,1.196806111,,
034220 KS,NET UN,61,61,0.281930972,0.612094003,0.894024976,1.194176516,,
009150 KS,UCTT UW,61,61,0.270360284,0.628055228,0.898415512,1.189019741,,
034220 KS,OLED UW,61,61,0.30018774,0.566856417,0.867044157,1.180907208,,
009150 KS,ADBE UW,61,61,0.424110813,0.342280823,0.766391637,1.178889662,,
009150 KS,BKI UN,61,61,0.260876613,0.63375358,0.894630193,1.176911093,,
009150 KS,SPLK UW,61,61,0.359670136,0.454977477,0.814647612,1.175579433,,
000990 KS,PDFS UW,61,61,0.338447478,0.49278383,0.831231308,1.175227132,,
011070 KS,JBL UN,61,61,0.298627921,0.560596308,0.859224229,1.171232815,,
018260 KS,TTMI UW,61,61,0.276573449,0.596997762,0.873571211,1.167785278,,
009150 KS,SSTI UR,61,61,0.265838689,0.613054834,0.878893523,1.164334276,,
018260 KS,MANH UW,61,61,0.358770342,0.445888641,0.804658983,1.164151551,,
018260 KS,XPER UN,61,61,0.350152772,0.461115825,0.811268597,1.163875831,,
000990 KS,GDDY UN,61,61,0.299750925,0.546112314,0.845863239,1.157925934,,
009150 KS,RMNI UQ,61,61,0.367748863,0.421849032,0.789597895,1.155712776,,
000660 KS,MQ UW,61,61,0.275326556,0.587696958,0.863023514,1.155465329,,
000660 KS,WDC UW,61,61,0.266745461,0.601149632,0.867895092,1.153365367,,
018260 KS,RNG UN,61,61,0.283125167,0.570656402,0.853781569,1.152234447,,
000660 KS,SPLK UW,61,61,0.277871723,0.576418558,0.854290282,1.148308239,,
018260 KS,HCKT UW,61,61,0.316712769,0.503565633,0.820278402,1.145045149,,
018260 KS,AEIS UW,61,61,0.298925877,0.534750228,0.833676105,1.144214836,,
011070 KS,SPLK UW,61,61,0.304854241,0.523291215,0.828145455,1.143354526,,
018260 KS,NTAP UW,61,61,0.26682409,0.591268419,0.85809251,1.142968449,,
018260 KS,EXTR UW,61,61,0.335816221,0.464736068,0.800552289,1.140240204,,
034220 KS,INTU UW,61,61,0.275141584,0.57154298,0.846684564,1.137866885,,
018260 KS,ICHR UW,61,61,0.334424479,0.462969619,0.797394098,1.135684989,,
005930 KS,RPD UQ,61,61,0.30839337,0.507993624,0.816386994,1.133813731,,
005930 KS,AIP UQ,61,61,0.254922831,0.602189414,0.857112245,1.131797366,,
034220 KS,CMPO UQ,61,61,0.293853495,0.529800988,0.823654483,1.129202011,,
006400 KS,FN UN,61,61,0.309872203,0.499574114,0.809446317,1.127662954,,
018260 KS,VMW UN,61,61,0.327620814,0.466738651,0.794359465,1.126657611,,
018260 KS,LFUS UW,61,61,0.316622309,0.484681024,0.801303333,1.124713172,,
034220 KS,PAR UN,61,61,0.353998202,0.416485459,0.770483661,1.123611177,,
018260 KS,ADBE UW,61,61,0.346676161,0.424882178,0.771558339,1.118529304,,
009150 KS,NET UN,61,61,0.30028962,0.508054312,0.808343932,1.118334068,,
009150 KS,POWI UW,61,61,0.355666443,0.404093848,0.759760291,1.113583682,,
018260 KS,KE UW,61,61,0.273661578,0.550270374,0.823931952,1.112320434,,
009150 KS,GDDY UN,61,61,0.263309801,0.567604714,0.830914515,1.110967488,,
018260 KS,ITRI UW,61,61,0.296509668,0.507818184,0.804327853,1.110831388,,
018260 KS,PSTG UN,61,61,0.280435789,0.53374446,0.814180249,1.107673925,,
018260 KS,PRO UN,61,61,0.302692195,0.493128995,0.795821189,1.107010541,,
009150 KS,SQSP UN,61,61,0.38415594,0.346026947,0.730182887,1.106247874,,
402340 KS,INVE UR,61,61,0.26833631,0.553646202,0.821982512,1.105709158,,
018260 KS,AKAM UW,61,61,0.281476102,0.529026728,0.81050283,1.104633468,,
018260 KS,CNXN UW,61,61,0.387797736,0.337711618,0.725509354,1.104357257,,
018260 KS,BHE UN,61,61,0.342096136,0.419261922,0.761358058,1.10374463,,
005930 KS,NCR UN,61,61,0.30252777,0.488466407,0.790994177,1.101718046,,
009150 KS,PSTG UN,61,61,0.339508742,0.420963105,0.760471847,1.10059748,,
018260 KS,UCTT UW,61,61,0.262449349,0.558483644,0.820932994,1.099580662,,
005930 KS,ARW UN,61,61,0.261733244,0.558662527,0.820395771,1.098397992,,
009150 KS,WDAY UW,61,61,0.325776446,0.443219005,0.76899545,1.098013633,,
018260 KS,NCNO UW,61,61,0.265760081,0.550946753,0.816706835,1.097885952,,
034220 KS,RMBS UW,61,61,0.301482398,0.483155824,0.784638223,1.094044031,,
009150 KS,IPGP UW,61,61,0.266186748,0.544586017,0.810772765,1.091914579,,
006400 KS,EGHT UW,61,61,0.256838649,0.555298888,0.812137537,1.085418752,,
018260 KS,RAMP UN,61,61,0.329837562,0.422961052,0.752798613,1.084179141,,
009150 KS,OKTA UW,61,61,0.305719634,0.463613235,0.769332869,1.081310985,,
005930 KS,UCTT UW,61,61,0.396932155,0.299528945,0.6964611,1.081120448,,
005930 KS,ROG UN,61,61,0.354316621,0.37606032,0.730376941,1.08106997,,
018260 KS,ZUO UN,61,61,0.300460117,0.470648569,0.771108686,1.078732188,,
018260 KS,WDAY UW,61,61,0.305465534,0.460140628,0.765606162,1.077116728,,
000990 KS,WDAY UW,61,61,0.285181263,0.496396545,0.781577808,1.076909399,,
011070 KS,PSTG UN,61,61,0.279968719,0.503292598,0.783261317,1.074272027,,
011070 KS,FORM UW,61,61,0.29163874,0.481162964,0.772801704,1.073034844,,
018260 KS,ORCL UN,61,61,0.302275659,0.460197848,0.762473507,1.071059055,,
000990 KS,HPQ UN,61,61,0.267401459,0.518577282,0.785978741,1.066481475,,
011070 KS,TTMI UW,61,61,0.258013049,0.532251336,0.790264385,1.063069251,,
009150 KS,ADI UW,61,61,0.299234676,0.458135989,0.757370664,1.063024964,,
011070 KS,TLS UQ,61,61,0.34540644,0.374793392,0.720199831,1.062626259,,
000660 KS,TTMI UW,61,61,0.25757481,0.527598283,0.785173092,1.057261707,,
034220 KS,S UN,61,61,0.285070886,0.474893421,0.759964307,1.053744072,,
000660 KS,RMNI UQ,61,61,0.343786828,0.366895901,0.710682729,1.051089342,,
018260 KS,DOX UW,61,61,0.392979255,0.276429325,0.66940858,1.048880288,,
006400 KS,SQSP UN,61,61,0.256254398,0.521195483,0.777449881,1.047894226,,
000990 KS,RMBS UW,61,61,0.377755531,0.301467458,0.679222988,1.046405521,,
005930 KS,VRRM UR,61,61,0.308192276,0.426160862,0.734353138,1.046075258,,
011070 KS,WDAY UW,61,61,0.275445756,0.484243459,0.759689215,1.045262088,,
034220 KS,SMAR UN,61,61,0.293698341,0.449810592,0.743508933,1.043518302,,
000660 KS,UCTT UW,61,61,0.258288608,0.512293778,0.770582386,1.04229404,,
018260 KS,CTSH UW,61,61,0.299352381,0.436859402,0.736211783,1.040538959,,
009150 KS,MEI UN,61,61,0.265452276,0.497664835,0.76311711,1.040419509,,
